record_ID,week,store_id,units_sold
1,17/01/11,8091,20
2,17/01/11,8091,28
3,17/01/11,8091,19
4,17/01/11,8091,44
5,17/01/11,8091,52
9,17/01/11,8091,18
10,17/01/11,8091,47
13,17/01/11,8091,50
14,17/01/11,8091,82
17,17/01/11,8095,99
18,17/01/11,8095,120
19,17/01/11,8095,40
22,17/01/11,8095,68
23,17/01/11,8095,87
24,17/01/11,8095,186
27,17/01/11,8095,54
28,17/01/11,8095,74
29,17/01/11,8095,102
30,17/01/11,8095,214
31,17/01/11,8095,28
32,17/01/11,8095,7
33,17/01/11,8095,48
34,17/01/11,8095,78
35,17/01/11,8095,57
37,17/01/11,8095,50
38,17/01/11,8095,62
39,17/01/11,8095,22
42,17/01/11,8094,109
43,17/01/11,8094,133
44,17/01/11,8094,11
45,17/01/11,8094,9
47,17/01/11,8094,19
48,17/01/11,8094,33
49,17/01/11,8094,49
50,17/01/11,8094,32
51,17/01/11,8094,47
52,17/01/11,8094,27
53,17/01/11,8094,69
54,17/01/11,8094,49
55,17/01/11,8094,60
56,17/01/11,8094,27
57,17/01/11,8094,33
58,17/01/11,8094,18
59,17/01/11,8094,72
60,17/01/11,8094,81
61,17/01/11,8094,11
62,17/01/11,8094,13
63,17/01/11,8094,28
65,17/01/11,8094,16
66,17/01/11,8094,10
67,17/01/11,8094,20
68,17/01/11,8063,48
69,17/01/11,8063,62
72,17/01/11,8063,28
73,17/01/11,8063,23
74,17/01/11,8063,6
75,17/01/11,8063,14
77,17/01/11,8063,81
78,17/01/11,8063,22
79,17/01/11,8063,45
80,17/01/11,8063,9
81,17/01/11,8063,11
83,17/01/11,8063,30
84,17/01/11,8063,54
85,17/01/11,8063,55
87,17/01/11,8063,29
88,17/01/11,8063,9
90,17/01/11,8063,3
91,17/01/11,8063,8
92,17/01/11,8063,10
93,17/01/11,8023,233
94,17/01/11,8023,256
95,17/01/11,8023,52
96,17/01/11,8023,18
98,17/01/11,8023,58
99,17/01/11,8023,114
100,17/01/11,8023,226
104,17/01/11,8023,189
105,17/01/11,8023,121
106,17/01/11,8023,391
107,17/01/11,8023,60
108,17/01/11,8023,26
110,17/01/11,8023,155
111,17/01/11,8023,91
